\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Anaesthesie\\|LOINC:34750-0|AKTIN Anästhesiemodul|\N|2016-02-16 16:16:40.543982|2016-02-16 16:16:31.276|2016-02-16 16:16:40.543982|test|\N
\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Basismodul\\4e239cb8:Allergy\\4e239cb8:AllergyReason\\4e239cb8:Allergy1\\|AKTIN:ALLERGY:A07AA|Antibiotika|\N|2016-02-16 16:16:40.558808|2016-02-16 16:16:31.276|2016-02-16 16:16:40.558808|test|\N
\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Basismodul\\4e239cb8:Allergy\\4e239cb8:AllergyReason\\4e239cb8:Allergy2\\|AKTIN:ALLERGY:V08|Kontrastmittel|\N|2016-02-16 16:16:40.564001|2016-02-16 16:16:31.276|2016-02-16 16:16:40.564001|test|\N
\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Basismodul\\4e239cb8:Allergy\\4e239cb8:AllergyReason\\4e239cb8:Allergy3\\|AKTIN:ALLERGY:OTH|Andere|\N|2016-02-16 16:16:40.568361|2016-02-16 16:16:31.276|2016-02-16 16:16:40.568361|test|\N
\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Basismodul\\4e239cb8:Allergy\\4e239cb8:Allergy_No\\|AKTIN:ALLERGY:ALGN:NEG|Allergien: nein|\N|2016-02-16 16:16:40.573656|2016-02-16 16:16:31.276|2016-02-16 16:16:40.573656|test|\N
\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Basismodul\\4e239cb8:Allergy\\4e239cb8:Allergy_Yes\\|AKTIN:ALLERGY:ALGN|Allergien: ja|\N|2016-02-16 16:16:40.578028|2016-02-16 16:16:31.276|2016-02-16 16:16:40.578028|test|\N
\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Basismodul\\4e239cb8:BodyTemperatureCore\\|LOINC:8329-5|Körpertemperatur|\N|2016-02-16 16:16:40.582117|2016-02-16 16:16:31.276|2016-02-16 16:16:40.582117|test|\N
\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Basismodul\\4e239cb8:CEDIS30\\4e239cb8:CEDIS30_CV\\|CEDIS30:CV|Kardiovaskulär|\N|2016-02-16 16:16:40.594996|2016-02-16 16:16:31.276|2016-02-16 16:16:40.594996|test|\N
\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Basismodul\\4e239cb8:CEDIS30\\4e239cb8:CEDIS30_CV\\4e239cb8:CEDIS30_001\\|CEDIS30:001|Herzstillstand (nicht traumatisch)|\N|2016-02-16 16:16:40.59932|2016-02-16 16:16:31.276|2016-02-16 16:16:40.59932|test|\N
\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Basismodul\\4e239cb8:CEDIS30\\4e239cb8:CEDIS30_CV\\4e239cb8:CEDIS30_002\\|CEDIS30:002|Herzstillstand (traumatisch)|\N|2016-02-16 16:16:40.603561|2016-02-16 16:16:31.276|2016-02-16 16:16:40.603561|test|\N
\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Basismodul\\4e239cb8:CEDIS30\\4e239cb8:CEDIS30_CV\\4e239cb8:CEDIS30_003\\|CEDIS30:003|Brustschmerz (kardial)|\N|2016-02-16 16:16:40.607516|2016-02-16 16:16:31.276|2016-02-16 16:16:40.607516|test|\N
\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Basismodul\\4e239cb8:CEDIS30\\4e239cb8:CEDIS30_CV\\4e239cb8:CEDIS30_004\\|CEDIS30:004|Brustschmerz (nicht kardial)|\N|2016-02-16 16:16:40.611053|2016-02-16 16:16:31.276|2016-02-16 16:16:40.611053|test|\N
\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Basismodul\\4e239cb8:CEDIS30\\4e239cb8:CEDIS30_CV\\4e239cb8:CEDIS30_005\\|CEDIS30:005|Palpitationen / unregelmässiger Herzschlag|\N|2016-02-16 16:16:40.614889|2016-02-16 16:16:31.276|2016-02-16 16:16:40.614889|test|\N
\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Basismodul\\4e239cb8:CEDIS30\\4e239cb8:CEDIS30_CV\\4e239cb8:CEDIS30_006\\|CEDIS30:006|Hypertonie|\N|2016-02-16 16:16:40.618801|2016-02-16 16:16:31.276|2016-02-16 16:16:40.618801|test|\N
\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Basismodul\\4e239cb8:CEDIS30\\4e239cb8:CEDIS30_CV\\4e239cb8:CEDIS30_007\\|CEDIS30:007|Allgemeine Schwäche|\N|2016-02-16 16:16:40.622725|2016-02-16 16:16:31.276|2016-02-16 16:16:40.622725|test|\N
\\i2b2\\4e239cb8:EmergencyNote\\4e239cb8:Basismodul\\4e239cb8:CEDIS30\\4e239cb8:CEDIS30_CV\\4e239cb8:CEDIS30_008\\|CEDIS30:008|Synkope/Präsynkope|\N|2016-02-16 16:16:40.626221|2016-02-16 16:16:31.276|2016-02-16 16:16:40.626221|test|\N
